name,stereo
1_i_1_A,76
1_i_1_B,40
1_i_1_C,50
1_i_1_D,78
1_i_1_E,80
1_i_2_A,76
1_i_2_B,40
1_i_2_C,54
1_i_2_D,74
1_i_2_E,78
1_i_3_A,74
1_i_3_B,38
1_i_3_C,48
1_i_3_D,74
1_i_3_E,74
1_i_4_A,78
1_i_4_B,20
1_i_4_C,44
1_i_4_D,72
1_i_4_E,74
1_i_5_A,76
1_i_5_B,32
1_i_5_C,44
1_i_5_D,80
1_i_5_E,70
144_i_1_A,86
144_i_1_B,68
144_i_1_C,72
144_i_1_D,82
144_i_1_E,88
144_i_2_A,84
144_i_2_B,72
144_i_2_C,60
144_i_2_D,82
144_i_2_E,84
144_i_3_A,78
144_i_3_B,60
144_i_3_C,64
144_i_3_D,86
144_i_3_E,88
144_i_4_A,90
144_i_4_B,62
144_i_4_C,70
144_i_4_D,82
144_i_4_E,84
144_i_5_A,88
144_i_5_B,60
144_i_5_C,64
144_i_5_D,84
144_i_5_E,86
145_i_1_A,90
145_i_1_B,78
145_i_1_C,70
145_i_1_D,94
145_i_1_E,94
145_i_2_A,86
145_i_2_B,76
145_i_2_C,84
145_i_2_D,96
145_i_2_E,88
145_i_3_A,82
145_i_3_B,60
145_i_3_C,82
145_i_3_D,84
145_i_3_E,80
145_i_4_A,90
145_i_4_B,56
145_i_4_C,72
145_i_4_D,92
145_i_4_E,94
145_i_5_A,90
145_i_5_B,70
145_i_5_C,86
145_i_5_D,92
145_i_5_E,92
147_i_1_A,99
147_i_1_B,90
147_i_1_C,92
147_i_1_D,99
147_i_1_E,99
147_i_2_A,94
147_i_2_B,86
147_i_2_C,86
147_i_2_D,90
147_i_2_E,94
147_i_3_A,99
147_i_3_B,88
147_i_3_C,90
147_i_3_D,94
147_i_3_E,96
147_i_4_A,98
147_i_4_B,80
147_i_4_C,90
147_i_4_D,99
147_i_4_E,96
147_i_5_A,96
147_i_5_B,80
147_i_5_C,90
147_i_5_D,99
147_i_5_E,96
157_i_1_A,76
157_i_1_B,52
157_i_1_C,52
157_i_1_D,82
157_i_1_E,74
157_i_2_A,82
157_i_2_B,36
157_i_2_C,36
157_i_2_D,82
157_i_2_E,80
157_i_3_A,82
157_i_3_B,32
157_i_3_C,42
157_i_3_D,80
157_i_3_E,74
157_i_4_A,80
157_i_4_B,34
157_i_4_C,44
157_i_4_D,76
157_i_4_E,74
157_i_5_A,72
157_i_5_B,26
157_i_5_C,42
157_i_5_D,72
157_i_5_E,72
166_i_1_A,99
166_i_1_B,92
166_i_1_C,86
166_i_1_D,94
166_i_1_E,96
166_i_2_A,99
166_i_2_B,86
166_i_2_C,96
166_i_2_D,99
166_i_2_E,94
166_i_3_A,94
166_i_3_B,88
166_i_3_C,90
166_i_3_D,99
166_i_3_E,99
166_i_4_A,99
166_i_4_B,80
166_i_4_C,90
166_i_4_D,99
166_i_4_E,99
166_i_5_A,99
166_i_5_B,76
166_i_5_C,94
166_i_5_D,99
166_i_5_E,99
181_i_1_A,68
181_i_1_B,46
181_i_1_C,44
181_i_1_D,76
181_i_1_E,72
181_i_2_A,74
181_i_2_B,42
181_i_2_C,46
181_i_2_D,68
181_i_2_E,80
181_i_3_A,78
181_i_3_B,36
181_i_3_C,52
181_i_3_D,76
181_i_3_E,76
181_i_4_A,76
